Member Name,Username,No. Of Portfolios,ID Verification,Portfolio Verification,Location,Size (KB),Subscription
Monica Brown,rhodesamanda,4,Not verified,Not verified,"West Danielleburgh, Arkansas, Wallis and Futuna",1476.95,Standard
April Tran,christopher60,4,Not verified,Verified,"Christinaland, Ohio, Latvia",8209.88,Premium
Jenna Bailey,donald33,0,Verified,Verified,"Rodriguezland, Louisiana, Somalia",2990.61,Standard
Carolyn Harris,danaprice,5,Verified,Not verified,"Taylorchester, Alaska, Cameroon",6939.14,Standard
Michelle Heath,brian29,1,Not verified,Verified,"Orrburgh, Florida, Lao People's Democratic Republic",3729.48,Premium
Jennifer Valdez MD,veronica71,2,Not verified,Verified,"Lake Lisa, North Carolina, Serbia",3643.65,Premium
Stanley Tran,wolfchristopher,0,Not verified,Verified,"Jacksonview, South Carolina, Canada",6342.1,Premium
Stephen Hall,tyler23,3,Not verified,Not verified,"Lake Maryberg, Tennessee, Ecuador",1340.88,Premium
Jeanette Pace,staffordshawn,2,Not verified,Verified,"Crystalberg, Nebraska, Colombia",115.11,Premium
Corey Moody,ashley09,1,Not verified,Not verified,"Ryanfurt, Delaware, Malaysia",9367.99,Advanced
Eric Burnett,boyderic,5,Not verified,Verified,"Hickstown, Tennessee, Samoa",8430.13,Standard
Michael Thompson,jennifercarpenter,4,Not verified,Verified,"East Miranda, Massachusetts, Russian Federation",9718.65,Basic
Melissa Moran,william17,0,Verified,Verified,"North Brandonstad, North Carolina, Mexico",9173.08,Basic
Ashley Peterson,dwaynegriffin,3,Verified,Not verified,"West Jennifer, West Virginia, Italy",1419.32,Advanced
Jennifer Baker,sean88,2,Verified,Verified,"East William, Utah, Switzerland",4556.59,Advanced
Kelly Evans,laurenwatson,2,Not verified,Not verified,"Michaelport, Idaho, Holy See (Vatican City State)",2749.08,Premium
Bradley Tyler,marie92,1,Verified,Not verified,"Nathanland, Oklahoma, Micronesia",819.13,Standard
Wesley Jones,victoria37,5,Not verified,Verified,"Lake Michael, New York, Western Sahara",404.87,Premium
Victoria Stone,joshua24,4,Not verified,Not verified,"East Benjamin, Mississippi, Austria",5969.57,Basic
Michelle Johnson,jared19,2,Verified,Verified,"Reneeland, Washington, Nigeria",1566.82,Standard
Robert Griffin,jgreene,4,Verified,Verified,"Crossshire, Louisiana, Saint Pierre and Miquelon",7144.98,Premium
Briana Mullins,megankim,5,Not verified,Verified,"East Karenmouth, North Carolina, Mongolia",4499.41,Advanced
Shelly Serrano,kcarter,5,Verified,Verified,"Haysburgh, Alaska, Saint Helena",9782.54,Advanced
Pamela Morrison,rhondaray,2,Not verified,Not verified,"North Tinaborough, Indiana, Guyana",6629.42,Standard
April Klein,granttiffany,0,Not verified,Not verified,"Bateschester, Nevada, Panama",395.06,Advanced
Andrew Marshall,wjohnston,2,Verified,Verified,"Trevorhaven, Arkansas, Italy",9678.01,Premium
Regina Clark,cwarner,1,Verified,Not verified,"Hannahtown, Connecticut, Sierra Leone",9813.76,Basic
Rachel Fuller,merrittbrian,3,Not verified,Not verified,"West Dorothy, Illinois, Italy",3854.1,Premium
Diana Smith,uhenderson,5,Not verified,Not verified,"Mooreberg, Massachusetts, Eritrea",6554.66,Advanced
Michelle Charles,obrooks,4,Not verified,Not verified,"Kyleside, Idaho, Egypt",8891.06,Advanced
Kaitlyn Callahan,pclark,5,Not verified,Verified,"Lunastad, California, United States Virgin Islands",9959.93,Basic
Ryan Nixon,amber00,5,Verified,Not verified,"Lake Madisonton, Kansas, Brunei Darussalam",3013.51,Advanced
Karina Horn,lgiles,4,Verified,Not verified,"New Robertville, North Carolina, Papua New Guinea",6261.75,Standard
Sean Herring,stephen64,2,Not verified,Not verified,"Suzanneburgh, South Carolina, South Africa",7260.16,Premium
Jonathan Walker,robertpowell,3,Verified,Not verified,"Port Veronicaburgh, Ohio, Paraguay",6367.74,Basic
Emily Smith,joholland,4,Not verified,Not verified,"Rodriguezmouth, Delaware, Russian Federation",5763.06,Basic
Cody Bartlett,kimberly91,1,Verified,Not verified,"West Selenaville, Maryland, Austria",7834.4,Advanced
Kevin Sutton,marcjones,4,Not verified,Not verified,"Katrinachester, North Dakota, Sierra Leone",9731.33,Basic
Jennifer Cameron,robertmorales,0,Verified,Verified,"Turnerfurt, New York, Swaziland",7850.01,Basic
Allison Anderson,johnsonkimberly,3,Not verified,Verified,"Kimberlyshire, Hawaii, Heard Island and McDonald Islands",5742.53,Advanced
Travis Thomas,swhitehead,5,Verified,Not verified,"New Anafurt, Michigan, Puerto Rico",7788.13,Standard
Abigail Haynes,eadams,4,Not verified,Not verified,"Sherylbury, Montana, American Samoa",5273.37,Advanced
Mckenzie Dickson,kelly40,2,Not verified,Verified,"Lake Kevin, New York, Bouvet Island (Bouvetoya)",9771.36,Basic
Ryan Gay,jacoblopez,3,Not verified,Verified,"West Kurt, Indiana, Turks and Caicos Islands",7231.94,Basic
Alexander Edwards,julian25,0,Verified,Verified,"Port Ian, Virginia, Denmark",7121.64,Standard
Susan Chapman,susanfreeman,0,Not verified,Verified,"Matthewtown, Maryland, Ukraine",81.52,Basic
Angela Barber,michelle72,1,Verified,Verified,"North Danielchester, New Hampshire, Cameroon",6276.35,Standard
